City,Country,Temp,Humidity,Weather
Aarhus,DK,2,100,Snow. Light breeze.
Helsinki,FI,-17,97,Light snow. Gentle Breeze.
New York,US,-1,31,Rain and snow. Gentle Breeze.
Melbourne,AU,34,27,Light rain. Gentle Breeze.
Windhoek,NA,28,25,Clear sky. Light breeze.
Singapore,SG,27,66,Overcast clouds. Moderate breeze.
Novosibirsk,RU,-17,96,Snow. Light breeze.
Dubai,AE,23,54,Scattered clouds. Gentle Breeze.
Thorshavn,FO,8,83,Light rain. Fresh Breeze.
San Francisco,US,16,39,Clear sky. Light breeze.
Suva,FJ,26,85,Moderate rain. Moderate breeze.
Tokyo,JP,7,46,Clear sky. Gentle Breeze.
